Santo Tomás | -14.4491 ,-72.0826
Coracora | -15.0156 ,-73.7793
Pausa | -15.2802 ,-73.3457
Zorritos | -3.6724 ,-80.6600
Zarumilla | -3.5003 ,-80.2745
Tumbes | -3.5706 ,-80.4593
Talara | -4.5809 ,-81.2719
Paita | -5.0877 ,-81.1138
Sullana | -4.8913 ,-80.6883
Ayabaca | -4.6400 ,-79.7158
Piura | -5.1953 ,-80.6270
Sechura | -5.5567 ,-80.8230
Chulucanas | -5.0965 ,-80.1615
Huancabamba | -5.2402 ,-79.4487
San Ignacio | -5.1445 ,-78.9991
Bagua | -5.6378 ,-78.5336
Jaén | -5.7099 ,-78.8092
Cutervo | -6.3790 ,-78.8179
Chota | -6.5615 ,-78.6506
Santa Cruz Succhabamba | -6.6271 ,-78.9448
Bambamarca | -6.6781 ,-78.5215
San Miguel de Pallaques | -6.9993 ,-78.8511
Celendín | -6.8675 ,-78.1462
Chepén | -7.2277 ,-79.4291
Ascope | -7.7152 ,-79.1075
San Pablo | -7.1187 ,-78.8229
Cajamarca | -7.1568 ,-78.5191
Contumaza | -7.3648 ,-78.8039
Cascas | -7.4783 ,-78.8181
Otuzco | -7.9017 ,-78.5643
San Marcos | -7.3355 ,-78.1703
Cajabamba | -7.6218 ,-78.0445
Huamachuco | -7.8148 ,-78.0500
Bolívar | -7.1541 ,-77.7018
Manú | -12.2710 ,-70.9330
