-78.74	2.16
-78.60	1.94
-78.80	1.85
-78.91	1.85
-78.62	1.80
-78.74	1.77
-78.99	1.75
-78.99	1.64
-78.89	1.60
-78.85	1.55
-78.80	1.51
-78.84	1.46
-78.89	1.42
-78.94	1.37
-78.99	1.33
-78.98	1.28
-79.11	1.24
-79.12	1.20
-79.17	1.15
-79.43	1.11
-79.52	1.06
-79.57	1.02
-79.70	0.97
-79.79	0.93
-79.88	0.88
-80.02	0.84
-80.08	0.75
-80.09	0.71
-80.02	0.66
-79.98	0.62
-79.98	0.57
-80.02	0.53
-80.02	0.48
-79.97	0.44
-79.94	0.40
-79.96	0.36
-80.07	0.35
-79.98	0.31
-80.00	0.26
-80.02	0.22
-80.03	0.17
-80.04	0.13
-80.02	0.08
-80.06	0.04
-80.11	0.00
-80.16	-00.05
-80.21	-00.12
-80.29	-00.14
-80.35	-00.23
-80.40	-00.30
-80.45	-00.34
-80.40	-00.43
-80.37	-00.51
-80.38	-00.56
-80.30	-00.58
-80.34	-00.61
-80.23	-00.62
-80.42	-00.64
-80.45	-00.69
-80.48	-00.81
-80.52	-00.87
-80.58	-00.89
-80.65	-00.90
-80.71	-00.91
-80.76	-00.92
-80.80	-00.94
-80.84	-00.96
-80.89	-01.01
-80.87	-01.05
-80.86	-01.09
-80.85	-01.12
-80.83	-01.16
-80.78	-01.19
-80.74	-01.25
-80.71	-01.32
-80.73	-01.34
-80.72	-01.38
-80.74	-01.41
-80.76	-01.44
-80.77	-01.45
-80.80	-01.47
-80.79	-01.51
-80.82	-01.53
-80.82	-01.59
-80.79	-01.66
-80.76	-01.69
-80.74	-01.72
-80.74	-01.77
-80.71	-01.83
-80.70	-01.88
-80.72	-01.92
-80.74	-01.93
-80.71	-02.01
-79.85	-02.05
-80.70	-02.06
-79.82	-02.07
-79.80	-02.08
-80.73	-02.10
-80.76	-02.12
-79.79	-02.13
-80.79	-02.15
-80.99	-02.15
-79.80	-02.16
-80.95	-02.17
-79.83	-02.17
-80.84	-02.18
-80.88	-02.18
-79.78	-02.19
-79.89	-02.20
-80.95	-02.21
-79.96	-02.21
-79.78	-02.21
-79.92	-02.23
-80.92	-02.24
-79.94	-02.25
-79.82	-02.26
-80.90	-02.27
-79.85	-02.27
-79.78	-02.28
-80.89	-02.29
-79.96	-02.30
-80.85	-02.31
-79.85	-02.31
-80.88	-02.33
-80.80	-02.35
-79.99	-02.36
-79.84	-02.36
-79.79	-02.37
-80.75	-02.38
-80.04	-02.38
-79.86	-02.38
-80.70	-02.39
-80.67	-02.39
-80.64	-02.40
-79.75	-02.40
-80.07	-02.42
-79.82	-02.42
-79.76	-02.43
-79.67	-02.43
-79.65	-02.43
-80.61	-02.44
-80.15	-02.44
-79.86	-02.45
-79.72	-02.47
-79.69	-02.47
-79.65	-02.47
-80.52	-02.50
-80.17	-02.50
-79.87	-02.50
-79.74	-02.50
-79.67	-02.50
-79.69	-02.51
-80.15	-02.52
-79.85	-02.52
-79.61	-02.53
-79.70	-02.53
-79.68	-02.53
-80.24	-02.54
-80.16	-02.54
-79.75	-02.54
-80.21	-02.55
-80.13	-02.55
-79.65	-02.55
-79.86	-02.56
-79.73	-02.56
-80.49	-02.57
-80.18	-02.57
-79.76	-02.57
-80.13	-02.58
-79.67	-02.58
-80.21	-02.59
-80.16	-02.60
-79.72	-02.60
-80.45	-02.61
-80.24	-02.61
-79.75	-02.61
-79.68	-02.61
-80.20	-02.62
-80.41	-02.64
-80.22	-02.64
-80.35	-02.65
-79.75	-02.65
-79.68	-02.65
-79.72	-02.67
-80.29	-02.68
-79.65	-02.68
-79.73	-02.69
-80.21	-02.70
-79.70	-02.71
-80.25	-02.72
-79.75	-02.73
-80.22	-02.74
-79.75	-02.77
-79.77	-02.78
-79.76	-02.83
-79.79	-02.85
-79.78	-02.88
-79.81	-02.89
-79.81	-02.90
-79.80	-02.90
-79.80	-02.93
-79.81	-02.95
-79.82	-02.98
-79.83	-03.01
-79.83	-03.06
-79.85	-03.09
-79.87	-03.13
-79.89	-03.15
-79.91	-03.18
-79.92	-03.20
-79.94	-03.22
-79.96	-03.25
-79.99	-03.28
-80.00	-03.31
-80.00	-03.32
-80.00	-03.34
-80.01	-03.36
-80.31	-03.38
-80.31	-03.38
-79.99	-03.40
-80.02	-03.40
-80.25	-03.40
-80.31	-03.40
-80.27	-03.41
-79.98	-03.43
-80.05	-03.43
-80.16	-03.43
-80.19	-03.43
-80.22	-03.43
-80.10	-03.44
-80.33	-03.45
-80.37	-03.49
-80.49	-03.49
-80.42	-03.50
-80.55	-03.60
-80.57	-03.63
-80.60	-03.63
-80.62	-03.66
-80.65	-03.66
-80.68	-03.67
-80.67	-03.68
-80.72	-03.71
-80.75	-03.71
-80.79	-03.75
-80.82	-03.84
-80.83	-03.87
-80.96	-03.95
-80.97	-03.97
-80.98	-03.98
-80.99	-04.00
-80.99	-04.00
-81.01	-04.04
-81.04	-04.08
-81.05	-04.10
-81.10	-04.12
-81.13	-04.17
-81.14	-04.17
-81.23	-04.25
-81.26	-04.31
-81.25	-04.33
-81.25	-04.40
-81.28	-04.45
-81.29	-04.46
-81.30	-04.48
-81.28	-04.53
-81.27	-04.57
-81.28	-04.57
-81.30	-04.66
-81.32	-04.66
